2025-02-24 23:11:34,483 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:34,625 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:34,764 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:34,905 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:35,021 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:35,122 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:35,230 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:35,359 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:35,459 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:35,556 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:35,658 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:35,859 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:35,964 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:36,069 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:36,156 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:36,288 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:36,461 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:36,621 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:36,780 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:36,926 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:37,121 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:37,296 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:37,465 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:37,622 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:38,125 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:39,544 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:39,945 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:40,128 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:40,390 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:40,630 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:40,789 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:40,975 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:41,671 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:42,036 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:42,648 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:43,124 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:43,572 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:43,742 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:44,000 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:44,326 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:44,530 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:44,876 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:45,114 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:45,328 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:45,506 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:45,694 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:45,952 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:46,185 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:46,358 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:46,601 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:46,788 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:46,975 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:47,142 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:47,472 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:47,629 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:47,797 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:47,956 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:48,134 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:48,363 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:48,563 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:48,725 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:48,888 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:49,011 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:49,255 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:49,415 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:49,583 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:49,963 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
2025-02-24 23:11:50,096 - fastapi_app - ERROR - Error occured {ex}, {traceback.print_exc()}
